Bairro,Endereço,Lat,Lng
Moema,Avenida Sabiá, -23.602532, -46.662384
Vila Mariana,Rua Prof. Sud Mennucci, -23.587256, -46.638144
Pinheiros,Rua Rebouças, -23.566625, -46.681545
Itaim Bibi,Rua João Cachoeira, -23.583237, -46.678318
Jardin Paulista,Alameda Casa Branca, -23.568689, -46.663575
Pompeia,Rua Ipacaraí, -23.536824, -46.680515
Pinheiros,Rua Fidalga, -23.556462, -46.689891
Brooklin,Avenida Jornalista Roberto Marinho, -23.621582, -46.679695
Campo Belo,Rua Zacarias de Gois, -23.620205, -46.668275
Consolação,Rua Augusta, -23.553826, -46.656039
Campos Elíseos,Alameda Barão de Limeira, -23.531305, -46.649912
Vila Olímpia,Rua Fidêncio Ramos, -23.594677, -46.684442
Santana,Avenida Olavo Fontura, -23.506887, -46.628777
Vila Leopoldina,Rua Dr. Seidel, -23.531718, -46.734892
Vila Clementino,Rua Capitão Macedo, -23.593277, -46.642103
Campo Limpo,Rua Maria Virgínia, -23.638588, -46.765902
Água Branca,Rua Dr.Rafael Correa, -23.526676, -46.689352
Butantã,Tv. Doze, -23.563223, -46.724345
Vila Bertioga,Rua Piraçununga, -23.563208, -46.578018
Santo Amaro,Rua Dr. Antônio Bento, -23.649424, -46.705012
Morumbi,Rua Doutor Luís Migliano, -23.622819, -46.723907
Vila Romana,Rua Catão, -23.524167, -46.700659
Vila Mariana,Rua Dr. Álvaro Alvim, -23.589690, -46.641161   